trip_id,month,hour,day_of_week,is_weekend,is_monsoon,is_raining,distance_km,vehicle_speed,violations_zone,ambulance_type,has_escort,driver_exp,zone_Vashi,zone_Nerul,zone_Kharghar,zone_Belapur,zone_Airoli,eta_minutes
22,1,19,0,0,0,1,17.425231856335156,14.089481999999999,28.841,3,0,3,0,0,0,0,1,15.0
23,1,15,0,0,0,0,7.712606914221209,28.979999999999997,48.637,0,0,1,1,0,0,0,0,15.0
24,1,3,0,0,0,0,10.85659206134564,26.950000000000003,48.637,3,0,5,1,0,0,0,0,15.0
25,1,18,0,0,0,0,7.040156819977468,17.25,28.841,0,0,3,0,0,0,0,1,15.0
26,1,3,0,0,0,0,9.682053770564469,28.174999999999997,48.637,1,0,1,1,0,0,0,0,15.0
27,1,4,0,0,0,1,16.39395515591884,22.3083465,28.841,0,0,1,0,0,0,0,1,15.0
28,1,2,1,0,0,1,6.327552668964458,21.131249999999998,48.637,1,0,2,1,0,0,0,0,15.0
29,1,9,1,0,0,0,17.218455996517505,21.916971999999998,28.841,1,0,3,0,0,0,0,1,15.0
124,1,10,4,0,0,0,12.645849596457802,26.950000000000003,48.637,1,1,1,1,0,0,0,0,15.0
125,1,8,4,0,0,0,13.954433666099012,19.568725,28.841,0,0,3,0,0,0,0,1,15.0
16,1,4,0,0,0,0,5.528363766610924,30.589999999999996,48.637,3,0,3,1,0,0,0,0,10.337137415566742
17,1,1,0,0,0,0,2.5290020861383917,25.725,38.622,0,0,5,0,1,0,0,0,5.821662206144458
18,1,19,0,0,0,0,6.934607854985247,19.639883999999995,28.841,3,0,4,0,0,0,0,1,15.0
19,1,3,0,0,0,1,9.343516553416837,21.131249999999998,48.637,2,1,1,1,0,0,0,0,15.0
20,1,10,0,0,0,0,1.2036062697806316,25.725,38.622,1,1,4,0,1,0,0,0,3.0
21,1,16,0,0,0,1,7.482454316031279,21.131249999999998,48.637,0,0,3,1,0,0,0,0,15.0
116,1,19,4,0,0,0,8.891646086763942,19.319999999999997,30.054,3,0,2,0,0,0,1,0,15.0
117,1,2,4,0,0,0,14.000975390203823,26.950000000000003,32.974,3,0,1,0,0,1,0,0,15.0
118,1,12,4,0,0,0,14.920996303314201,24.64,32.974,1,0,5,0,0,1,0,0,15.0
119,1,12,4,0,0,0,3.9797341180390453,25.759999999999998,38.622,1,0,1,0,1,0,0,0,8.888164600974571
120,1,15,4,0,0,0,7.450615192957508,29.459825999999996,28.841,0,0,3,0,0,0,0,1,15.0
121,1,12,4,0,0,0,10.358394305617605,24.64,38.622,1,0,1,0,1,0,0,0,15.0
122,1,23,4,0,0,0,7.169267146865565,30.589999999999996,48.637,3,0,3,1,0,0,0,0,13.946084216846108
123,1,12,4,0,0,0,15.878569537135439,25.047968,28.841,2,0,2,0,0,0,0,1,15.0
108,1,13,3,0,0,0,11.043075155955812,23.1,48.637,0,0,3,1,0,0,0,0,15.0
109,1,3,3,0,0,0,12.715449199387967,26.950000000000003,32.974,1,0,1,0,0,1,0,0,15.0
110,1,3,4,0,0,0,6.750261181873787,28.174999999999997,38.622,1,0,2,0,1,0,0,0,14.514213240643896
111,1,20,4,0,0,0,10.489187054678357,23.1,38.622,2,0,2,0,1,0,0,0,15.0
112,1,4,4,0,0,0,10.59031606629845,29.26,48.637,2,1,1,1,0,0,0,0,15.0
113,1,9,4,0,0,0,1.8374643774156298,20.58,32.974,2,0,1,0,0,1,0,0,5.521265003746753
114,1,17,4,0,0,0,11.717908062330064,16.94,38.622,3,1,2,0,1,0,0,0,15.0
115,1,20,4,0,0,0,6.021905399466646,24.15,38.622,2,1,2,0,1,0,0,0,14.385669247489089
88,1,18,3,0,0,0,15.157402502166828,16.5,32.974,1,0,2,0,0,1,0,0,15.0
89,1,13,3,0,0,0,13.926038425616651,23.1,32.974,3,0,4,0,0,1,0,0,15.0
90,1,3,3,0,0,0,13.997422924950632,27.396215,28.841,0,0,5,0,0,0,0,1,15.0
91,1,13,3,0,0,1,2.3096777615170168,16.81131375,28.841,1,0,1,0,0,0,0,1,8.522661587535362
92,1,21,3,0,0,0,5.538069567024371,30.589999999999996,38.622,0,0,1,0,1,0,0,0,10.542695554185947
93,1,2,3,0,0,0,1.31869886333147,25.725,38.622,2,0,3,0,1,0,0,0,3.0697885429977294
126,1,5,4,0,0,0,14.291329766246383,30.800000000000004,32.974,0,0,3,0,0,1,0,0,15.0
127,1,8,4,0,0,0,2.7696931907908042,18.375,48.637,3,0,3,1,0,0,0,0,8.670371248694932
80,1,19,2,0,0,0,10.486663433443093,18.479999999999997,48.637,2,0,1,1,0,0,0,0,15.0
81,1,4,2,0,0,1,13.457361535012149,21.945,30.054,2,1,4,0,0,0,1,0,15.0
82,1,7,2,0,0,0,13.105472448403281,24.64,30.054,2,0,4,0,0,0,1,0,15.0
83,1,12,3,0,0,0,0.8399861903155026,22.4,32.974,2,0,1,0,0,1,0,0,3.0
84,1,16,3,0,0,0,18.252219927714226,27.396215,28.841,2,0,2,0,0,0,0,1,15.0
85,1,19,3,0,0,0,13.63881897204193,18.479999999999997,30.054,0,0,3,0,0,0,1,0,15.0
86,1,22,3,0,0,1,6.84931174861882,24.15,48.637,1,0,4,1,0,0,0,0,15.0
87,1,12,3,0,0,0,7.098656764566676,25.759999999999998,48.637,0,0,3,1,0,0,0,0,15.0
8,1,11,0,0,0,0,12.798807459048287,29.26,48.637,1,0,1,1,0,0,0,0,15.0
9,1,6,0,0,0,0,12.03288833635682,32.34,30.054,2,0,3,0,0,0,1,0,15.0
10,1,4,0,0,0,0,17.022777615930146,29.744462,28.841,1,0,3,0,0,0,0,1,15.0
11,1,6,0,0,0,0,10.771000101949456,32.34,38.622,2,0,5,0,1,0,0,0,15.0
